full_name,role,location,date_of_birth,salary
Sakshi Malhotra,Credit Officer,Mumbai,1997-06-09,1113984.52
Vihaan Chowdhury,Financial Analyst,Hyderabad,1998-06-24,1036719.56
Krishna Malhotra,Sales Manager,Pune,1976-08-20,1413177.7
Saanvi Chowdhury,Business Analyst,Pune,1976-03-24,1982774.95
Aadhya Mehta,QA Engineer,Kolkata,1983-12-03,1026240.03
Diya Iyer,Data Analyst,Kolkata,1989-09-24,1950772.9
Avni Nair,Relationship Manager,Chennai,1999-08-05,1333720.85
Avni Chowdhury,Customer Support,Delhi,1989-05-18,614347.62
Aarav Joshi,Security Engineer,Lucknow,1977-05-07,330010.27
Arjun Chowdhury,Software Engineer,Hyderabad,1993-02-04,454938.59
Diya Desai,Compliance Officer,Chennai,1982-05-28,1262938.4
Ananya Nair,HR Manager,Hyderabad,1997-11-12,512211.07
Shaurya Sharma,Product Manager,Mumbai,1976-10-18,1325752.2
Aarav Kapoor,UX Designer,Lucknow,1994-12-04,1373465.39
Ananya Khan,QA Engineer,Delhi,1997-04-09,305337.03
Krishna Bhat,Credit Officer,Delhi,1983-07-25,807527.48
Sakshi Kapoor,Marketing Manager,Bengaluru,1995-09-14,1468652.84
Arjun Patel,Risk Analyst,Jaipur,1994-01-29,1521060.31
Shaurya Chowdhury,DevOps Engineer,Mumbai,1996-11-20,586137.55
